"","idCompra","CodPanelista","CodProducto","CodigoBarras","FechaCesta","PrecioCompra","Cantidad","Precio","CodLugarCompra","Lugar_Compra","Canal","CodIndividuo","CC_AA","Edad_Ama","NF","Numero_Gatos","Numero_Perros","Presencia_Ni�.os","CodIMC","IMC","Ponderacion","CodVF","VF","SA7_BPL","SA4_Fabricante","SA3_Marca","SA2_Submarca","X102_Aditivos","X108_Usuario","X109_Estado","X112_Niv_Calorias","X124_Estilo","X127_Tipo_Ba�.ado_Choc","X129_Tipo_Pasteleria","X135_Uso","X143_Tipo_Corte","X163_Info_Cafeina","X167_Grado_Curacion","X169_Cont_Materia_Grasa","X174_Despiece.Corte","X182_Tipo_Queso","X188_Tipo_Pan","X189_Tipo_Viena","X206_Tipo_Pescado","X230_Niv_Concentracion","X314_Tipo_Cena.Entrante","X315_Tipo_Carne","X323_Tipo_Sazonamiento","X328_Tipo_Aceite","X329_Pureness_Niveau","X360_Tipo_Verdura","X366_Tipo_Postre","X383_Tipo_Yogurt","X384_Tipo_Cena","X489_Como_Compro.","X490_Fresca.Congelada","X491_Presentacion","X497_Tipo_Queso","X498_Marcas_Queso","X500_Tipo_Embutido","X514_Tipo_Carne","X527_Tipo_Cafe","X529_Tipo_Producto","X531_Info_Biologica","X558_Variedad_Queso","X571_Peso_Bebe","X674_Tipo_Helado","X901_Localizacion","X902_Tipo_Producto","X903_Envase","X904_Variedad.Sabor","X5_Num_Tot_Unidades","X18_Num_Tot_Paquetes.Botes","X66_Preferred_Unit_Measure","TipoMaquina","Promo_Folleto","Promo_Envase","Promo_TPR","Ciclo_Vida","Clase_EGM","Clase_Social","Habitat_Metropolitano","Habitat_Municipal_Std","Inmigrante","Provincia","Region","promo_folleto","promo_envase"
"24",48348437,167538,415553,"TJA1010301","2013-12-30",950,12000,150,134,"PANADERIA","panaderia/horno",1,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",125,"HUEVOS (CB)                   ","Branded                       ",122091,122091,122091,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Envasado                      ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL",8,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"25",48348438,167538,74600,"KIA1020302","2013-12-30",450,1000,120,134,"PANADERIA","panaderia/horno",1,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",462,"Pan fresco (CB)               ","Branded                       ",122091,122091,122091,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Granel/Sin Envas              ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL",400,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"26",48348440,167538,281395,"8410100020839","2013-12-30",5500,2000,998,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",120,"CAFE SOLUBLE                  ","Branded                       ",20456,20457,162576,"NULL","NULL","POLVO                         ","NULL","NULL","NULL","NULL","NULL","NULL","CON CAFEINA                   ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NATURAL                       ","NULL","VALOR INDISPONIBLE            ","NULL","NULL","NULL","ESTANTERIA                    ","CAFE SOLUBLE                  ","FRASCO                        ","VALOR INDISPONIBLE            ","1","NULL",220,6,"Si","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV","Mas Cantidad","NULL"
"27",48348441,167538,496160,"CHA40803010101","2013-12-30",5500,518,389,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",3,"A?OJO/BUEY/TERNE/OTR VAC. (CB)","Branded                       ",122091,122091,122091,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Filete/Bisteo                 ","NULL","NULL","NULL","NULL","NULL","NULL","BUEY                          ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sin Preparacion               ","Fresca                        ","Envasada                      ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"28",48348442,167538,503734,"CKA30105010101","2013-12-30",5500,535,479,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",78,"PAVO (CB)                     ","Branded                       ",122091,122091,122091,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","FILETE                        ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ADOBADO                       ","Fresca                        ","Envasada                      ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"29",48348443,167538,506105,"CHA20503010101","2013-12-30",5500,424,1015,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",3,"A?OJO/BUEY/TERNE/OTR VAC. (CB)","Branded                       ",122091,122091,122091,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Entrecotte/Lomo               ","NULL","NULL","NULL","NULL","NULL","NULL","TERNERA                       ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sin Preparacion               ","Fresca                        ","Envasada                      ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"30",48348444,167538,620529,"8421022410004","2013-12-30",5500,2000,260,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",11,"FRUTA Y VERDURA  FRESCA       ","Branded                       ",191512,386799,386799,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VERDURA/TUBERCULO             ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VALOR INDISPONIBLE            ","NULL","NULL","NULL","FRESCOS                       ","ENDIVIA                       ","BARQUETA                      ","NULL","1","NULL",400,6,"No","No","Si","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"31",48348445,167538,634540,"8480010039207","2013-12-30",5500,1000,68,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",11,"FRUTA Y VERDURA  FRESCA       ","Private Label                 ",140584,292513,292513,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VERDURA/TUBERCULO             ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VALOR INDISPONIBLE            ","NULL","NULL","NULL","ESTANTERIA                    ","ZANAHORIA                     ","BOLSA PLASTICO                ","NANTESA                       ","1","NULL",1000,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"32",48348446,167538,722251,"8480010003369","2013-12-30",5500,3000,327,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",194,"LIMPIAVAJILLAS LIQUIDO A MANO ","Private Label                 ",140584,140584,417136,"NULL","NULL","LIQUIDO                       ","NULL","NULL","NULL","NULL","UNIVERSAL                     ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NORMAL                        ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VALOR INDISPONIBLE            ","NULL","NULL","NULL","ESTANTERIA                    ","LIMPIAVAJILLA A MAN           ","FRASCO PLASTICO               ","VALOR INDISPONIBLE            ","1","NULL",1500,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
"33",48348447,167538,739218,"8480010149036","2013-12-30",5500,1000,109,902,"EROSKI HIPER","hiper",0,"Castilla y León",68,"2",0,0,"No","2","Normal","1,263",840,"VERDURA/HORTALIZA CONGEL      ","Private Label                 ",140584,140584,417136,"NULL","NULL","TROCEADO                      ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","JUDIA VERDE REDONDA           ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VALOR INDISPONIBLE            ","NULL","NULL","NULL","CONGELADOS                    ","VERDURA Y HORTALIZA           ","BOLSA PLASTICO                ","VALOR INDISPONIBLE            ","1","NULL",1000,6,"No","No","No","Retirados","M","Media baja","NO METROP","50001 a 100000","No","ZAMORA","Region IV",NA,NA
